Timestamp,Price
7:00:00,100.01
7:00:48,100.14
7:02:00,100.03
7:02:36,100.16
7:02:54,100.19
7:05:16,100.13
7:07:39,100.21
7:09:01,100.23
7:12:26,100.27
7:15:44,100.06
7:18:46,100.02
7:19:40,100.19
7:22:50,100.25
7:25:52,100.46
7:27:31,100.54
7:28:22,100.29
7:29:43,100.32
7:32:34,100.56
7:35:33,100.58
7:37:55,100.38
7:41:23,100.5
7:42:23,100.44
7:44:43,100.42
7:44:45,100.37
7:45:21,100.24
7:48:24,100.29
7:52:10,100.1
7:53:04,100.34
7:57:38,100.48
8:01:45,100.49
8:03:17,100.44
8:05:50,100.62
8:10:34,100.5
8:14:03,100.52
8:14:17,100.4
8:16:08,100.21
8:17:35,100.12
8:20:53,100.33
8:20:58,100.38
8:23:04,100.3
8:23:16,100.2
8:24:55,100.37
8:26:47,100.58
8:31:35,100.72
8:34:31,100.91
8:34:39,101
8:36:50,100.91
8:40:25,100.78
8:42:06,100.97
8:43:40,101.19
8:44:53,101.25
8:45:19,101.45
8:47:33,101.45
8:49:22,101.23
8:53:52,101.27
8:54:31,101.24
8:55:16,101.13
8:56:50,101.19
9:00:46,100.95
9:01:25,100.75
9:05:33,100.71
9:08:36,100.47
9:12:42,100.51
9:17:18,100.41
9:18:41,100.53
9:18:56,100.71
9:20:13,100.62
9:24:06,100.65
9:24:28,100.54
9:29:08,100.59
9:29:50,100.51
9:29:57,100.66
9:33:58,100.52
9:36:52,100.45
9:37:23,100.66
9:38:47,100.57
9:43:17,100.59
9:44:22,100.56
9:47:14,100.51
9:49:18,100.45
9:50:29,100.4
9:50:39,100.4
9:50:51,100.58
9:51:55,100.46
9:52:04,100.64
9:54:09,100.68
9:56:42,100.76
9:59:18,100.96
10:02:19,#N/A
10:04:46,100.91
10:05:17,100.92
10:07:22,100.89
10:07:52,100.85
10:10:37,100.84
10:13:08,100.86
10:17:53,100.81
10:22:12,101.02
10:23:44,100.86
10:24:05,101.06
10:28:26,101.02
10:30:43,101.02
10:34:36,100.98
10:36:06,100.88
10:39:11,101.08
10:42:57,101.06
10:43:40,101.29
10:44:14,101.35
10:44:40,101.47
10:49:05,101.44
10:50:59,101.31
10:51:44,101.26
10:56:00,101.18
10:59:55,101.15
11:04:29,101.32
11:06:31,101.35
11:07:15,101.34
11:10:34,101.13
11:11:30,101.2
11:15:31,101.06
11:18:45,101.19
11:19:22,101.13
11:20:38,100.92
11:24:43,100.95
11:27:33,101.04
11:28:27,101.24
11:29:28,101.47
11:32:47,101.46
11:36:02,101.64
11:39:29,101.83
11:41:17,101.79
11:42:41,101.55
11:43:37,101.43
11:43:52,101.4
11:46:03,101.49
11:49:40,101.5
11:54:09,101.62
11:55:21,101.55
11:58:38,101.34
12:02:53,101.55
12:06:30,101.49
12:08:06,101.54
12:12:39,101.79
12:12:44,101.92
12:13:17,101.76
12:15:17,101.62
12:15:59,101.84
12:20:25,101.98
12:22:54,102.05
12:27:35,101.96
12:32:18,101.9
12:34:06,101.68
12:38:32,101.92
12:39:14,101.92
12:40:00,101.95
12:41:23,102.06
12:43:15,102.29
12:45:20,102.19
12:49:03,102.09
12:52:36,102.05
12:54:52,101.93
12:56:42,101.69
13:00:19,101.62
13:03:45,101.39
13:04:05,101.31
13:06:58,101.49
13:09:06,101.71
13:10:19,101.59
13:14:24,101.34
13:17:51,101.31
13:21:23,101.33
13:21:59,101.3
13:26:20,101.3
13:26:53,101.3
13:28:48,101.1
13:30:18,101.21
13:31:47,101.03
13:36:16,101.2
13:37:27,101.14
13:40:46,101.1
13:40:47,100.86
13:45:07,100.61
13:48:20,100.39
13:51:50,100.63
13:52:56,100.78
13:57:16,100.81
13:59:27,101.01
14:02:40,101.01
14:04:45,101.16
14:05:24,101.17
14:09:20,101.11
14:13:56,#N/A
14:18:35,100.92
14:22:52,100.96
14:22:59,101.09
14:23:22,101.19
14:25:38,101.25
14:28:33,101.35
14:29:19,101.39
14:31:37,101.24
14:36:07,101.11
